"id","language","bank","card","merchant","merchantPhone","benefit","tAndCLink","from","to","storeLocation","imageUrl"
"SC-34","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","Jebsen Fine Wines","29262312","""15% off"",""A complimentary bottle of Baron de Ley Gran Reserva, Rioja Spain (valued at HK$261) upon first purchase of HK$1,000"",""Priority bookings to Jebsen Fine Wines events and first access to wines with exclusive and limited release""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-western.html","2016-01-01","2016-12-31","","https://www.sc.com/hk/promotion/credit-cards/year-round-offers/images/logo/023-Jebsen-Fine-Wines.gif"
"SC-35","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","Bay Bridge Hong Kong by HOTEL G - Anchor’s Seafood and Beer House","29451138","""15% off all buffets""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-hotel.html","2016-01-01","2016-12-31","""123 Castle Peak Road, Yau Kom Tau, Tsuen Wan""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/05-anchors-seafood-and-beer-house.gif"
"SC-36","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card""","Tiger Curry & Café","31064083","""10% off all Takeaway orders"",""10% off all dine-in bills over HK$300 (before service charge)""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-western.html","2016-01-01","2016-12-31","""Shop 2602, Level 2, Harbour City, Tsim Sha Tsui""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/18-tiger-cafe.jpg"
"SC-37","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","Noah's Ark Hotel & Resort - Harvest Restaurant","34118836","""20% off on dinner buffet""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-hotel.html","2016-01-01","2016-12-31","""33 Pak Yan Road, Ma Wan, New Territories""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers/images/logo/144-Noahs-Ark-Hotel-Resort.gif"
"SC-38","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard""","Espressamente illy","36650311","""15% off upon spending of HK$200 or above after 6pm from Monday to Friday""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-others.html","2016-01-01","2016-12-31","""Shop OTG61, G/F, Ocean Terminal, Harbour City, Tsim Sha Tsui, Kowloon""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/261-espressamente-illy-1.jpg"
"SC-39","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","Hyatt Regency Hong Kong, Tsim Sha Tsui","37217700","""15% discount on lunch buffet, dinner buffet and weekend afternoon tea buffet at Cafe""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-hotel.html","2016-01-01","2016-12-31","""Lobby Level, Hyatt Regency Hong Kong, Tsim Sha Tsui, 18 Hanoi Road, Tsim Sha Tsui, Kowloon, Hong Kong""","https://www.sc.com/global/av/hk-Eng.gif"
"SC-40","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","Lodgewood by L’hotel Mongkok Hong Kong – canton pot","39687888","""For Standard Chartered Platinum Credit Card or above Cardholders:"",""10% off on a la carte menu and hot pot menu from Friday to Saturday"",""15% off on a la carte menu and hot pot menu from Sunday to Thursday"",""For all Standard Chartered Credit Cardholders:"",""10% off on a la carte menu and hot pot menu from Monday to Sunday""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-hotel.html","2016-01-01","2016-12-31","""1131 Canton Road, Mongkok, Hong Kong""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/32.gif"
"SC-41","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","L’hotel élan – forte","39688222","""For Standard Chartered Platinum Credit Card or above Cardholders:"",""10% off on a la carte menu and beverage consumption from Monday to Sunday"",""10% off on executive lunch from Monday to Friday"",""30% off on holiday brunch on Saturday, Sunday and Public Holiday"",""30% off on semi-buffet dinner from Monday to Thursday"",""25% off on semi-buffet dinner on Friday, Saturday, Sunday, Public Holiday eve and Public Holiday"",""For all Standard Chartered Credit Cardholders:"",""10% off on a la carte menu and beverage consumption from Monday to Sunday"",""10% off on executive lunch from Monday to Friday"",""25% off on holiday brunch on Saturday, Sunday and Public Holiday"",""25% off on semi-buffet dinner from Monday to Thursday"",""20% off on semi-buffet dinner on Friday, Saturday, Sunday, Public Holiday eve and Public Holiday""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-hotel.html","2016-01-01","2016-12-31","""38 Chong Yip Street, Kwun Tong, Hong Kong""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/33.gif"
"SC-42","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","L’hotel Island South – LIS Café","39688833","""For Standard Chartered Platinum Credit Card or above Cardholders:"",""10% off on a la carte menu, lunch set (Monday to Friday) and afternoon tea set"",""30% off on holiday buffet brunch (Saturday, Sunday & Public Holiday only) and buffet dinner (Monday to Thursday)"",""25% off on buffet dinner (Friday to Sunday, Public Holiday eve and Public Holiday)"",""For all Standard Chartered Credit Cardholders:"",""10% off on a la carte menu, lunch set (Monday to Friday) and afternoon tea set"",""25% off on holiday buffet brunch (Saturday, Sunday & Public Holiday only) and buffet dinner (Monday to Thursday)"",""20% off on buffet dinner (Friday to Sunday, Public Holiday eve and Public Holiday)""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-hotel.html","2016-01-01","2016-12-31","""55 Wong Chuk Hang Road, Aberdeen, Hong Kong""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/34-35.gif"
"SC-43","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","L’hotel Island South – Bar LIS","39688835","""10% off on a la carte menu""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-hotel.html","2016-01-01","2016-12-31","""55 Wong Chuk Hang Road, Aberdeen, Hong Kong""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/34-35.gif"
