"id","language","bank","card","merchant","merchantPhone","benefit","tAndCLink","from","to","storeLocation","imageUrl"
"DBS-9","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","超羣麵包西餅","23716350","""心思之選系列蛋糕9折""","http://www.dbs.com.hk/personal-zh/promotion/mariasbakery-zh","2016-01-01","2016-12-31","""全線分店""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-mariasbakery-zh.jpg"
"DBS-30","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","東歐烏克蘭俄羅斯餐廳","28511193","""惠顧每滿HK$250可獲贈伏特加1杯及惠顧滿HK$800可額外獲贈紅或白酒1支""","http://www.dbs.com.hk/personal-zh/promotion/ivanthekozak-zh","2016-01-01","2016-12-31","""中環閣麟街46-48號地下""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-ivanthekozak-zh.jpg"
"DBS-17","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","火井火鍋海鮮飯店","25474508","""凡惠顧可獲贈沙魚丸1客""","http://www.dbs.com.hk/personal-zh/promotion/firewellhotpotandseafoodrestaurant-zh","2016-01-01","2016-12-31","""石塘咀皇后大道西419G東蔚苑地下1號舖""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-firewellhotpotandseafoodrestaurant-zh.jpg"
"DBS-27","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","Nahm Vietnamese &amp; Thai","28107575","""自選菜式9折""","http://www.dbs.com.hk/personal-zh/promotion/nahmvietnameseandthai-zh","2016-01-01","2016-12-31","""尖沙咀柯士甸道西1號圓方1樓1044-45號舖""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-nahmvietnameseandthai-zh.jpg"
"DBS-46","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","星域酒廊","39198338","""餐饗9折""","http://www.dbs.com.hk/personal-zh/promotion/skyzonedeckandlounge-zh","2016-01-01","2016-12-31","""大角咀大角咀道86號30樓""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-skyzonedeckandlounge-zh.jpg"
"DBS-44","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","滿屋日本料理","36223366","""惠顧晚市放題可獲贈清酒1支""","http://www.dbs.com.hk/personal-zh/promotion/manyajapaneserestaurant-zh","2016-01-01","2016-12-31","""銅鑼灣駱克道463-483號銅鑼灣廣場2期8樓""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-manyajapaneserestaurant-zh.jpg"
"DBS-24","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","La Locanda Italian Cuisine","27859600","""自選菜式9折""","http://www.dbs.com.hk/personal-zh/promotion/lalocandaitaliancuisine-zh","2016-01-01","2016-12-31","""尖沙咀廣東道17號海港城海運大廈4樓402號""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-lalocandaitaliancuisine-zh.jpg"
"DBS-26","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","酒鄉暨酒鄉教育學院","28080932","""正價貨品9折""","http://www.dbs.com.hk/personal-zh/promotion/premierfinewine-zh","2016-01-01","2016-12-31","""尖沙咀梳士巴利道3號星光行18樓1821-1821A室""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-premierfinewine-zh.jpg"
"DBS-16","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","Bouchon Bistro Francais","25259300","""自選菜式9折""","http://www.dbs.com.hk/personal-zh/promotion/bouchonbistrofrancais-zh","2016-01-01","2016-12-31","""中環蘇豪伊利近街49號地下""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-bouchonbistrofrancais-zh.jpg"
"DBS-40","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","上海佬蟹莊","31253232","""晚市主餐牌9折""","http://www.dbs.com.hk/personal-zh/promotion/shanghailo-zh","2016-01-01","2016-12-31","""灣仔杜老誌道5號1樓""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-shanghailo-zh.jpg"
"DBS-19","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","水剌韓饍","27117700","""星期一至四惠顧滿HK$500可享9折""","http://www.dbs.com.hk/personal-zh/promotion/surakoreancuisine-zh","2016-01-01","2016-12-31","""尖沙咀山林道17-19號山林中心2樓""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-surakoreancuisine-zh.jpg"
"DBS-3","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","Haveli Indian Restaurant","22679100","""正價菜式85折""","http://www.dbs.com.hk/personal-zh/promotion/haveliindianrestaurant-zh","2016-01-01","2016-12-31","""天后清風街20號地下""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-haveliindianrestaurant-zh.jpg"
"DBS-18","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","Toro Steakhouse &amp; Gastro Bar","26969608","""自選菜式9折""","http://www.dbs.com.hk/personal-zh/promotion/torosteakhouseandgastrobar-zh","2016-01-01","2016-12-31","""尖沙咀柯士甸道西1號圓方3樓R008號舖""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-torosteakhouseandgastrobar-zh.jpg"
"DBS-1","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","美酒珍藏","21686868","""正價香檳及餐酒88折""","http://www.dbs.com.hk/personal-zh/promotion/rareandfinewines-zh","2016-01-01","2016-12-31","""中環德輔道中10號東亞銀行大廈商場L6舖""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-rareandfinewines-zh.jpg"
"DBS-13","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","Soho Spice Vietnamese &amp; Thai","25211600","""自選菜式9折""","http://www.dbs.com.hk/personal-zh/promotion/sohospicevietnameseandthai-zh","2016-01-01","2016-12-31","""中環蘇豪伊利近街47B號地下""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-sohospicevietnameseandthai-zh.jpg"
"DBS-25","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","Lupa by Mario Batali","27966500","""自選菜式9折""","http://www.dbs.com.hk/personal-zh/promotion/lupabymariobatali-zh","2016-01-01","2016-12-31","""中環皇后大道中31號陸海通大廈3樓""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-lupabymariobatali-zh.jpg"
"DBS-31","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","協景酒行","28560308","""惠顧滿12支酒可享9折""","http://www.dbs.com.hk/personal-zh/promotion/maxscenewineshop-zh","2016-01-01","2016-12-31","""觀塘開源道52至54號豐利中心6樓611室""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-maxscenewineshop-zh.jpg"
"DBS-8","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","葡萄園有限公司","23684684","""正價貨品9折""","http://www.dbs.com.hk/personal-zh/promotion/abcwineslimited-zh","2016-01-01","2016-12-31","""尖沙咀東部麼地道63號好時中心地下22號舖""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-abcwineslimited-zh.jpg"
"DBS-47","zh_TW","DBS","""DBS Eminent Card""","Pacific Coffee","81086500","""手調飲品7折""","http://www.dbs.com.hk/personal-zh/promotion/PacificCoffee-zh","2016-01-01","2016-12-31","""所有分店，恆生銀行及滙豐銀行各總行之分店除外。""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-PacificCoffee-zh.jpg"
"DBS-21","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","葡萄「緣」紅酒莊有限公司","27303890","""正價貨品8折""","http://www.dbs.com.hk/personal-zh/promotion/dangelowinecellarltd-zh","2016-01-01","2016-12-31","""尖沙咀山林道23號1201室""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-dangelowinecellarltd-zh.jpg"
"DBS-10","zh_TW","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS 白金信用卡"",""COMPASS VISA 及 CV+"",""其他 DBS 信用卡""","麵屋一平安","23755330","""堂食9折""","http://www.dbs.com.hk/personal-zh/promotion/ramenandbarippeianhigomonzu-zh","2016-01-01","2016-12-31","""尖沙咀彌敦道132號美麗華商場2樓2007號舖""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-ramenandbarippeianhigomonzu-zh.jpg"
